station,sequence,origin,turbidity_ntu,ph,temperature_c,forecast_h6_ntu,alum_percent,chlorine_percent,global_round,algorithm
virtual,45,DISCLOSED_DIGITAL_TWIN,0.18,9.38,27.15,0.2039770043903945,19.86589239184684,12.637896091629278,3,RG_AdaFedResidual
austin,46,PUBLISHED_FIELD,0.51,9.32,26.64,0.544549376980753,19.20459056710812,11.68048068758489,3,RG_AdaFedResidual
tongji,46,PUBLISHED_FIELD,17.09,7.96,11.6,19.51988678689211,19.16172797963968,9.640267487900358,3,RG_AdaFedResidual
virtual,46,DISCLOSED_DIGITAL_TWIN,0.19,9.38,26.95,0.2074806545473304,19.874042793091487,12.56186578230312,3,RG_AdaFedResidual
austin,47,PUBLISHED_FIELD,0.54,9.29,26.57,0.5460989084349971,19.036293042824976,11.655547096075788,3,RG_AdaFedResidual
tongji,47,PUBLISHED_FIELD,16.61,7.97,11.51,19.58838009942029,19.23529276285852,9.643063133309672,3,RG_AdaFedResidual
virtual,47,DISCLOSED_DIGITAL_TWIN,0.25,9.35,26.94,0.2154360747625689,19.78954081632653,12.560000000000002,3,RG_AdaFedResidual
austin,48,PUBLISHED_FIELD,0.51,9.32,26.51,0.5396093280770733,19.197694297340824,11.63384039977473,3,RG_AdaFedResidual
tongji,48,PUBLISHED_FIELD,17.71,8.02,11.44,19.80407716442663,19.56738527880216,9.651867095146669,3,RG_AdaFedResidual
virtual,48,DISCLOSED_DIGITAL_TWIN,0.24,9.4,26.88,0.2604057086179251,20.10897586473916,12.537618546679678,3,RG_AdaFedResidual
austin,49,PUBLISHED_FIELD,0.5700000000000001,9.31,26.5,0.5447065564642921,19.182841123754045,11.631571428571428,3,RG_AdaFedResidual
tongji,49,PUBLISHED_FIELD,15.39,7.9,9.66,19.95234742479729,18.95655544026537,9.657918942508733,3,RG_AdaFedResidual
virtual,49,DISCLOSED_DIGITAL_TWIN,0.26,9.37,26.96,0.2681792330845266,19.94642918227812,12.568450098274338,3,RG_AdaFedResidual
austin,50,PUBLISHED_FIELD,0.51,9.33,26.47,0.5367401142917757,19.250493340594783,11.619431719183932,3,RG_AdaFedResidual
tongji,50,PUBLISHED_FIELD,15.58,7.92,9.46,20.32198374240308,19.16782389188654,9.673006139145704,3,RG_AdaFedResidual
virtual,50,DISCLOSED_DIGITAL_TWIN,0.27,9.39,27.08,0.2708793050699787,20.070990422071603,12.61428781585082,3,RG_AdaFedResidual
austin,51,PUBLISHED_FIELD,0.54,9.31,26.6,0.542603395503185,19.14505936343096,11.666111574092994,3,RG_AdaFedResidual
tongji,51,PUBLISHED_FIELD,18.23,7.9,10.12,19.9785070461968,18.963837896907688,9.65898668215769,3,RG_AdaFedResidual
virtual,51,DISCLOSED_DIGITAL_TWIN,0.24,9.44,27.09,0.2712882017375292,20.36944213778693,12.618116032079431,3,RG_AdaFedResidual
austin,52,PUBLISHED_FIELD,0.54,9.31,26.45,0.5427620038143691,19.14528066217837,11.612546943020616,3,RG_AdaFedResidual
tongji,52,PUBLISHED_FIELD,18.01,7.930000000000001,8.63,19.97271022734944,19.12526793357168,9.65875007730678,3,RG_AdaFedResidual
virtual,52,DISCLOSED_DIGITAL_TWIN,0.23,9.37,26.8,0.2527360242787562,19.91436635383357,12.506791742062267,3,RG_AdaFedResidual
austin,53,PUBLISHED_FIELD,0.54,9.3,26.58,0.5424847374237178,19.08807560350929,11.658963631603871,3,RG_AdaFedResidual
tongji,53,PUBLISHED_FIELD,19.99,7.96,8.53,20.050990075167405,19.31008444266241,9.661945173136084,3,RG_AdaFedResidual
virtual,53,DISCLOSED_DIGITAL_TWIN,0.19,9.37,26.9,0.2421892739301468,19.891923929679564,12.544404842998713,3,RG_AdaFedResidual
austin,54,PUBLISHED_FIELD,0.51,9.3,26.61,0.5425740636526492,19.08820025289751,11.669681745585113,3,RG_AdaFedResidual
tongji,54,PUBLISHED_FIELD,17.41,7.91,8.69,20.248820148859625,19.09322917844999,9.670019870021482,3,RG_AdaFedResidual
virtual,54,DISCLOSED_DIGITAL_TWIN,0.19,9.39,26.72,0.2070330433044813,19.93252907040993,12.474226272455825,3,RG_AdaFedResidual
austin,55,PUBLISHED_FIELD,0.5700000000000001,9.32,26.36,0.5432223019194542,19.239659305572225,11.58157142857143,3,RG_AdaFedResidual
tongji,55,PUBLISHED_FIELD,16.44,7.9,8.92,20.364815675902847,19.070968670319168,9.674754381329368,3,RG_AdaFedResidual
virtual,55,DISCLOSED_DIGITAL_TWIN,0.23,9.37,26.89,0.2087022947275076,19.865390787070627,12.540038095238096,3,RG_AdaFedResidual
austin,56,PUBLISHED_FIELD,0.54,9.3,26.63,0.5431872750968871,19.089055690286376,11.67685088321844,3,RG_AdaFedResidual
tongji,56,PUBLISHED_FIELD,12.2,7.890000000000001,10.05,19.400065614815954,18.747614319621057,9.635376827815618,3,RG_AdaFedResidual
virtual,56,DISCLOSED_DIGITAL_TWIN,0.28,9.37,26.64,0.2470292268508715,19.970374684788275,12.447085714285716,3,RG_AdaFedResidual
austin,57,PUBLISHED_FIELD,0.54,9.35,26.56,0.5428624164201304,19.37269347461706,11.65183696070372,3,RG_AdaFedResidual
